STATE,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
MN,74.10391049693479,73.49486762840161,74.38806371521252,81.45104207261063,82.67462624652444,86.24609924569614,89.98314362581449,89.94555933098447,90.61022583433372,90.74321215136304,94.7115990290515,90.6826949180652,93.68445733186184,96.91132394195168,96.15525341513096,97.41721159883694,93.48069753323466,93.7450830282748,93.29809339937547,86.11714569616407,101.33997342028374,98.4697940986897,92.2296805947454,95.28839546316416,105.27859739201016,91.87321914152056,91.64014030868626,92.31600065435585,98.06979117692548,94.62667709746536,80.31007958181124,85.12269488788945
MO,82.62657636697132,82.75855542939266,83.18637561086899,82.80783874173908,89.01328540447052,97.24425320453211,101.1330533937408,105.291765670996,109.10128727828328,107.99827856716225,109.26421635279073,114.65716461896716,114.43054976785233,121.804813876379,124.49559920833752,127.573411373751,127.0184034154402,124.29771690893432,122.1058903483378,116.24979354119702,122.2329007235458,122.17178730305308,115.06924730731782,122.05875175950912,122.16656811255297,112.07298935863456,106.2313604539005,112.27116111272368,113.52783870434212,105.42137097317044,97.31890661933076,105.69396569367814
MS,-21.05806703291203,-21.80729918925656,-21.8568320166561,-19.836254310879333,-20.054862160451275,-18.124435271681552,-15.468119703196695,-13.878854070248636,-13.283715059542764,-7.597218996552186,-8.1601572538214,0.3181354217185594,-7.675604674923408,-5.722042965797741,-4.634001505561559,-5.471052813822588,-3.3111835687790423,-1.1685690478793769,-4.730416375548873,-10.454126156504175,-6.475789781034097,-11.003332632014375,-8.996885313704045,-11.891506045142972,-8.578868640238866,-8.223095361605573,-6.9087886027827805,-8.76403828381062,-4.229852613039574,-3.716940194041643,-1.8768408705976591,-0.2692247354228659
MT,40.94313962579562,39.87346458905793,40.58982043816253,42.710821400534414,38.48943947973471,40.2377722385092,36.18421393098101,41.8511747012895,42.800214459275296,43.17314062573605,38.00996249899346,42.929978212840496,42.3569231759183,42.89815435266516,45.10488882565696,44.82538625917152,44.16527568126424,49.53922178935851,47.6736109588941,46.28311229629466,52.66099133188524,54.796753665220216,35.44555804875624,46.6233252831509,44.636060062126376,43.12061119077251,40.09866922749455,40.031650946626456,40.630351420313296,43.32118377666021,32.50023146585216,37.23149475421416
NC,71.35332150778139,70.55878045605354,80.98534272943749,86.3409065987655,82.4576347313334,88.6102114501368,100.4933630824224,102.1782752466494,103.2691422464824,102.77069767509,112.3358939583526,107.8852479195671,110.736915899275,114.1347325455866,116.7730368099192,120.3044992666728,115.1253783008354,118.94200568883848,112.6927899997382,97.9253796722745,110.3153215967293,96.2557164981245,87.6772424778846,88.2798081934819,90.9871888059354,86.461447106858,86.31490879598489,81.97021824666311,85.6448264885384,84.5034135066258,68.64128990329459,77.7314215021474
ND,44.0041794407823,44.14498989506082,45.942131822171696,46.46430697802538,44.9943422957782,47.64822175051224,46.99787518735566,46.673435830996524,48.28430203506191,48.45067841987159,46.94436276125125,47.688132833535626,46.64465224113079,47.10508813267952,44.31954188768248,48.46815394954387,46.35667272285109,49.24386512317573,48.49400375176777,49.41728118608125,51.20111418518113,52.4131486224961,54.66379711237831,59.30446209875637,64.66065066886603,63.794407148714335,55.33341762422139,57.57551371368109,66.21196834970304,69.9234537376395,57.4446513185754,59.37886999835778
NE,28.40443475173494,29.02308178384341,28.514939105909114,33.28396168105348,31.636738051064317,34.820246542839875,35.55644841259345,36.69573192677394,39.18828714285713,38.259276786630245,36.11220944512477,41.360663872362295,39.43381333938034,41.48963580262592,41.44936020109791,41.47203706868093,39.30272338657238,42.03697679366879,42.30091822754935,44.149166635170495,44.31053550393629,46.63701578567318,43.50652104474051,46.19280546860417,47.58350364730254,45.679779503985614,42.43763842616338,41.32087097450758,46.22021646598156,44.32754836757113,40.25301840107211,41.33413905925798
NH,7.9084219962896,7.6345439736165,7.7295787019654,8.0820342356001,8.2100264171789,8.386511542001399,8.792690988742,10.6094448649344,10.055132928819,10.2584299331158,10.8397113971991,10.5348287650857,10.642395464654,14.5794239542798,15.6751954606629,15.0395447069361,13.4131344504188,13.024628491358,12.1956496753121,10.7581513602137,10.6567400933319,10.3561510553106,8.590015738503999,8.3199000642973,9.0842040377945,9.0355832271861,7.4159154042102,6.9868463507731,7.9343969366061,7.674707607424301,6.1520162818927,6.8360399275112
NJ,99.32513419590953,97.55504539735712,104.315886847636,102.48048711981328,112.8349872191102,111.58043211557732,114.64725931995449,115.08661329970526,110.08756755862156,114.58422447939672,113.49738444041192,110.13880242827418,109.07823917755356,111.5672816287641,114.49020357202542,116.90789084642212,111.64680499832323,117.91283551127408,111.27106783195434,101.5959233998384,97.2813491850278,95.8056234627682,90.57256530207675,91.53927958989044,97.42765472895982,95.47055821808809,97.65357567027704,91.26724883087736,95.28392056641552,93.33388911043684,75.76488492350157,80.81338831469962
NM,64.59706868922719,61.81964454733711,62.86194815068469,64.29673107339275,66.20631806900762,65.40318100356866,67.01491749521959,68.75258489328445,66.94328208960681,68.79635446707672,70.90914458096893,70.78910555215437,70.0282343548569,69.94462655447417,73.18551085326838,73.5351838629436,74.25333134278617,71.72847767689895,69.38428000391463,69.6621472523441,68.21434022513678,68.71720276441314,66.04077672458062,67.38212153034208,66.18468211438191,65.47633588231004,56.46170906618372,56.51916549536778,53.22589985508012,58.49980368605885,51.571410019176746,52.99716266997866
