STATE,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
ME,6.934890637084097e-06,6.896965351357938e-06,7.66171535540361e-06,7.1655600153855905e-06,8.006337377184377e-06,6.962912151521692e-06,7.452492778713361e-06,7.688808855150957e-06,7.044183275158911e-06,7.695910127327937e-06,9.049645022434208e-06,9.08589693040666e-06,9.895166007138338e-06,9.706819430442176e-06,9.72885194992799e-06,8.508084703162982e-06,7.229712916650561e-06,6.854361313772757e-06,5.191986541896072e-06,4.179565684687761e-06,3.609846817936788e-06,3.4117677071449332e-06,1.6462192115484415e-06,1.9175795136408712e-06,2.0621626946226763e-06,2.037401887819796e-06,1.4429381200428596e-06,4.114570088466906e-07,2.6764675397402745e-07,1.6368053739439954e-07
MI,1.85981220508722e-05,1.8388083214206177e-05,1.8292857708134172e-05,1.8302393151670912e-05,1.8595650007765217e-05,1.8807766508676163e-05,1.9157168337579143e-05,1.880196406081142e-05,1.8592539953839772e-05,1.905576433083573e-05,1.8709793430371145e-05,1.80775520304442e-05,1.810219883438916e-05,1.782203382375401e-05,1.7979027299109423e-05,1.7962755286166992e-05,1.6864991226816962e-05,1.704681773023652e-05,1.6474498841807625e-05,1.5246654127254174e-05,1.626421855396627e-05,1.5671168648887146e-05,1.4900221400635943e-05,1.569269527896349e-05,1.567124028507027e-05,1.5614717981868796e-05,1.4669623967835921e-05,1.4408570736324388e-05,1.5145414331385004e-05,1.4659271181849955e-05
MN,1.6890615557951195e-05,1.6599897509006156e-05,1.6636031266268306e-05,1.8013331258736606e-05,1.810646501653613e-05,1.8726984959259343e-05,1.936069417773273e-05,1.9187460899161868e-05,1.9171042432478622e-05,1.900179251115547e-05,1.9196901433865653e-05,1.8199158648691457e-05,1.866620255728792e-05,1.9176796915518703e-05,1.8899504239946506e-05,1.9028293158727882e-05,1.8103941476993015e-05,1.800296301647445e-05,1.778116511118801e-05,1.630635021910047e-05,1.9081765295408502e-05,1.8418847774683488e-05,1.71537668754919e-05,1.7602062456169897e-05,1.9313350144441158e-05,1.67589716990927e-05,1.659322617682193e-05,1.6585013672513684e-05,1.7492942460623044e-05,1.6778874419016233e-05
MO,1.6117950200038493e-05,1.604541408969238e-05,1.6016828050611644e-05,1.5809790095596086e-05,1.6854727008276237e-05,1.8263169171926604e-05,1.8840380684869132e-05,1.9472825086325366e-05,2.0064375776916802e-05,1.974974454160702e-05,1.948611785432535e-05,2.0325169020557745e-05,2.0164595343090285e-05,2.1334071859418402e-05,2.16599180805707e-05,2.2032262814318948e-05,2.1739660851455115e-05,2.1111737137048827e-05,2.061236019355065e-05,1.9501438922088892e-05,2.0385829011857922e-05,2.03271542987722e-05,1.9100637014198806e-05,2.0206010672496404e-05,2.0172142229164907e-05,1.8458158126648963e-05,1.7451783220497084e-05,1.8385005430574055e-05,1.8545382279232503e-05,1.7176799625701587e-05
MS,-8.170192677854586e-06,-8.41580993939425e-06,-8.3736459398428e-06,-7.526350734557001e-06,-7.529655957668165e-06,-6.735735134719477e-06,-5.707951217541701e-06,-5.0804312098386335e-06,-4.8280980177051375e-06,-2.7440463987829984e-06,-2.8648686640389725e-06,1.1150932028548234e-07,-2.6850161577746546e-06,-1.9949165104067276e-06,-1.6040101991898813e-06,-1.8827116752883964e-06,-1.1398308588839716e-06,-3.990537496813485e-07,-1.604724454577022e-06,-3.533262816458498e-06,-2.179998364286353e-06,-3.693966535418732e-06,-3.0152279207913774e-06,-3.978807601385003e-06,-2.8687378163681626e-06,-2.751606209866374e-06,-2.3122262251702615e-06,-2.9325778678373572e-06,-1.4189279552098187e-06,-1.2489093099981362e-06
MT,5.119018637324663e-05,4.935830444638947e-05,4.935316600703585e-05,5.085372293116414e-05,4.5020942798046975e-05,4.6329018998377934e-05,4.1275270951183826e-05,4.762818815541205e-05,4.866243160776832e-05,4.890594432551754e-05,4.2056979461649616e-05,4.733387456885191e-05,4.6460959073782745e-05,4.664718892670439e-05,4.8499411108555894e-05,4.768140718684943e-05,4.6358398812275365e-05,5.13516260802343e-05,4.8825152172891754e-05,4.7036543652520735e-05,5.315549691972949e-05,5.494422396233512e-05,3.531197285544409e-05,4.5999162645217936e-05,4.3680804547477585e-05,4.18453734353308e-05,3.8524592886735426e-05,3.803547324004254e-05,3.830648830715947e-05,4.0533379033494525e-05
NC,1.07185610408705e-05,1.045604162573119e-05,1.1854086774363825e-05,1.242777981193076e-05,1.167796537712985e-05,1.2331975179420946e-05,1.3751787930199034e-05,1.3754581605790295e-05,1.3685594509506764e-05,1.3432692716410034e-05,1.390018057758668e-05,1.314051702515104e-05,1.3299812951822206e-05,1.3551168773454179e-05,1.3652632013311492e-05,1.381951461507461e-05,1.2910383817113913e-05,1.3044694344718987e-05,1.2105205152285403e-05,1.0362949967466707e-05,1.1521997074542953e-05,9.966844374676885e-06,8.993021007271016e-06,8.968484687862112e-06,9.16019570200843e-06,8.618869436467157e-06,8.499922282571028e-06,7.982894257138799e-06,8.249663129343402e-06,8.057087787114005e-06
ND,6.904089255242264e-05,6.960747319857146e-05,7.230119560889244e-05,7.291618394333179e-05,7.032981373663676e-05,7.427070421934484e-05,7.31077083700532e-05,7.281972061720822e-05,7.570350643933897e-05,7.646090909070645e-05,7.311944083195033e-05,7.462207553185078e-05,7.309149352698787e-05,7.373800029222691e-05,6.874390905558741e-05,7.501776682398844e-05,7.138143260137643e-05,7.543230026435343e-05,7.374739951513495e-05,7.431527710518588e-05,7.588554305918963e-05,7.649042084351286e-05,7.796016565367085e-05,8.213504880470831e-05,8.768722942993843e-05,8.460056168652921e-05,7.334427878942543e-05,7.626481731534488e-05,8.7341663610309e-05,9.17555969693273e-05
NE,1.796993842570903e-05,1.8244273675179175e-05,1.779507759326233e-05,2.0645710589438995e-05,1.951017146612368e-05,2.129493740778469e-05,2.1580006283221234e-05,2.21586964139641e-05,2.3596428132734132e-05,2.2964366017035876e-05,2.1071179846847842e-05,2.4049190662576137e-05,2.2816638241327474e-05,2.386322885297667e-05,2.36938784825954e-05,2.3543631961156296e-05,2.2171195681695804e-05,2.3570726681956664e-05,2.3547893721449135e-05,2.435570181613139e-05,2.4219468863757318e-05,2.5336950736292603e-05,2.347512578609138e-05,2.476455558048108e-05,2.531951893652151e-05,2.4152876339100836e-05,2.2269774406891724e-05,2.1566813160545453e-05,2.4002846087524063e-05,2.291530451051233e-05
NH,7.112971302553715e-06,6.896264389408386e-06,6.9462750497098216e-06,7.202013058026752e-06,7.2459268641908505e-06,7.320602531067802e-06,7.574890924579245e-06,9.042867535885187e-06,8.479455136912508e-06,8.540620724345326e-06,8.742534690558536e-06,8.39082924809915e-06,8.385854313333423e-06,1.1391598914145362e-05,1.2150174643047357e-05,1.1582316030392255e-05,1.0251641102469373e-05,9.923224047539884e-06,9.267872990405166e-06,8.174253485074638e-06,8.09314066880112e-06,7.844368555198826e-06,6.486790636764554e-06,6.271492606256568e-06,6.81311385294122e-06,6.761389776021327e-06,5.524753580373342e-06,5.180096153635155e-06,5.86228453384912e-06,5.644366786342319e-06
