,State,BLS Total State Employment,Solar Electric Power Generation Employment,Wind Electric Power Generation Employment,Traditional Hydroelectric Electric Power Generation Employment,Natural Gas Electric Power Generation Employment,Coal Electric Power Generation Employment,Oil & Other Fossil Fuels Electric Power Generation Employment,Electric Power Generation Employment,Storage Employment,Smart Grid Employment,Micro Grid & Other (including commodity flows) Employment,"Transmission, Distribution, and Storage Employment",ENERGY STAR & Efficient Lighting Employment,Traditional HVAC Employment,High Efficiency HVAC & Renewable Heating and Cooling Employment,Advanced Materials Employment,Energy Efficiency Employment,Coal Fuels Employment,Oil (Petroleum & Other Fossil Fuels) Employment,Natural Gas Fuels Employment,Corn Ethanol Fuels Employment,Woody Biomass Fuels Employment,Fuels Employment,Motor Vehicles Employment,year
98,Washington,3354517.0,5246.03529320308,3227.537370120181,2425.499568157879,377.6597011164307,221.18638921878141,73.39747511408854,14762.92968336965,3291.49489016452,342.6745271308677,5849.448775203399,31930.138655178063,15689.252535154797,19186.318982868008,6837.06451953783,6502.232172286793,62519.46466200467,348.93694454351976,5623.002107087033,141.22186606246524,120.62362129048216,1161.1292783225754,8361.721463417509,32238.013884384596,2017
99,West Virginia,692385.0,487.81830270361,483.1904090535767,135.07677861609784,195.1010537739751,2454.9045894899823,49.08684081331188,3961.1948871990644,564.3134683093344,85.08095972430594,4251.253272219962,10849.832108087132,1941.186829680918,564.5146037109581,988.7618007182659,2839.7365377271385,6523.160620519626,14431.159781568653,4390.1657327530465,5523.714247987921,22.102859854552772,205.56647982782005,26986.693008549217,8573.564561746807,2017
100,Wisconsin,2908457.0,3801.5765396680004,1549.3355835178527,137.74461163957406,938.6568888583452,2633.11345860153,20.789057118493577,10508.707413120981,1519.083384022672,273.64266267193966,4232.816538510229,19423.101009890313,25719.668448490396,8640.846854549944,5723.414287632597,21212.93109082432,62299.30297846958,96.55959961994641,4904.763895342456,354.5976732287782,1439.7997046907028,354.21246576708876,8467.42800896475,47584.063273989625,2017
101,Wyoming,280588.0,203.3262094624196,87.15035882441353,14.127102795988527,53.75094143498883,1290.605868278722,1.9039552222883285,1666.8505001771987,342.4720429387066,40.90628492112327,3817.514462941166,9373.099773107027,3179.8946596044534,2090.435007125386,1059.2589027909469,397.8186609105766,7382.216842544112,6114.009930422012,8166.143583127089,6336.025166809674,3.616704717179593,109.9718942582411,21369.10726785605,3358.711111316549,2017
102,Alabama,1969868.0,725.4853763252205,1227.4723991629426,368.52607749754014,2115.6355854689987,1450.6623407737686,190.87242614477418,9942.8447770579,840.976807130647,350.96827406652255,11717.763239150769,31243.045239484,1589.6135305201892,6074.2058198715695,3411.6010951978014,17187.98144673296,30820.996396789647,2958.2940855115403,4040.505366245802,705.2293373064769,78.27538865853188,1076.0065771156644,11038.59618876554,66611.2617332799,2018
103,Alaska,335750.0,89.26426860174595,54.41047194966468,440.984918313576,372.39090611793165,143.69527712515537,133.0306885373809,1449.1796529209141,211.38871831104066,34.27602980210695,1642.2762711348482,6309.453801359294,484.4174959302989,674.6943386787088,1918.6303803618378,1383.2274440458852,4616.619547429235,166.58456891219785,8608.373386795121,5110.206954047917,2.744989687819919,56.05603720951411,13997.304115358316,2390.3666227322888,2018
104,Arizona,2770778.0,9262.18655206102,905.2483593063992,207.16572252101514,4460.647122112792,5245.278234684375,176.65494675275156,23854.60605991048,1376.7552902332002,222.53235626638315,5458.32238516763,20897.67969731427,7617.211231092242,10330.2921398103,12834.858400452478,7505.219764599143,43418.4258806275,540.6144876720379,716.8933548683906,221.5414327327698,125.24062185365104,66.98674715901961,1844.290200712407,31225.829510190837,2018
105,Arkansas,1214643.0,418.17901683767707,876.528021556178,51.59693588225508,436.65562275779934,342.6312463729148,9.053857071319756,3609.8554418184094,327.4338563950551,143.05150880433268,3269.445603836081,15370.644396259155,2068.4614366257815,3034.0781631098325,2871.102284814431,767.5102849565315,15147.24841312322,135.01639530190525,4416.158132863497,2058.735980552923,371.45124107754907,665.1365626023171,8493.061915177783,20158.567786936652,2018
106,California,17473143.0,126506.56711454998,5785.169031571869,11163.86145949201,20807.739798435556,1339.174765347409,753.6300099519183,183418.27024987148,18205.970365184556,2381.964018569553,28015.995215446022,152207.31819772872,71892.5983610252,123678.40945377434,63618.86436189993,20074.039209968934,318541.57367275946,1842.8856159807974,56423.9624547886,7847.165099321536,469.65233195119134,2401.004201881154,74974.1031798996,217587.1453012753,2018
107,Colorado,2704410.0,7774.655679254033,7317.714680360144,979.0367949007939,744.5727605461651,3246.7815415747386,292.6831346740865,24890.83498411568,1768.5809473667703,423.8332247570326,7064.664518124237,28891.841557750755,10722.554184150293,9939.414160893652,6426.76509732719,5651.825868483186,34341.61684872883,1898.553268514769,16457.514778843866,10735.477439231125,626.203109268255,3442.6512458723087,38122.36095314149,32085.666832776216,2018
