,anomaly,date
663,0.723,2005-04-01
664,0.292,2005-05-01
665,0.745,2005-06-01
666,0.985,2005-07-01
667,0.857,2005-08-01
668,1.463,2005-09-01
669,0.742,2005-10-01
670,0.864,2005-11-01
671,0.814,2005-12-01
672,3.79,2006-01-01
673,1.195,2006-02-01
674,0.615,2006-03-01
675,1.773,2006-04-01
676,1.254,2006-05-01
677,1.17,2006-06-01
678,1.428,2006-07-01
679,0.59,2006-08-01
680,-0.275,2006-09-01
681,-0.127,2006-10-01
682,0.623,2006-11-01
683,2.208,2006-12-01
684,1.125,2007-01-01
685,-0.459,2007-02-01
686,2.275,2007-03-01
687,0.405,2007-04-01
688,1.194,2007-05-01
689,0.951,2007-06-01
690,0.869,2007-07-01
691,1.639,2007-08-01
692,1.115,2007-09-01
693,1.189,2007-10-01
694,1.718,2007-11-01
695,0.634,2007-12-01
696,0.199,2008-01-01
697,0.176,2008-02-01
698,0.649,2008-03-01
699,-0.178,2008-04-01
700,-0.18,2008-05-01
701,0.619,2008-06-01
702,0.203,2008-07-01
703,0.061,2008-08-01
704,0.303,2008-09-01
705,-0.579,2008-10-01
706,0.831,2008-11-01
707,-0.144,2008-12-01
708,0.527,2009-01-01
709,1.447,2009-02-01
710,0.649,2009-03-01
711,0.105,2009-04-01
712,0.975,2009-05-01
713,0.2,2009-06-01
714,-0.021,2009-07-01
715,-0.046,2009-08-01
716,0.903,2009-09-01
717,-1.206,2009-10-01
718,1.449,2009-11-01
719,-0.801,2009-12-01
720,0.486,2010-01-01
721,-0.351,2010-02-01
722,1.245,2010-03-01
723,1.465,2010-04-01
724,0.267,2010-05-01
725,1.114,2010-06-01
726,0.58,2010-07-01
727,1.216,2010-08-01
728,1.121,2010-09-01
729,1.154,2010-10-01
730,0.797,2010-11-01
731,-0.563,2010-12-01
732,0.586,2011-01-01
733,-0.13,2011-02-01
734,1.288,2011-03-01
735,0.506,2011-04-01
736,-0.149,2011-05-01
737,0.815,2011-06-01
738,1.233,2011-07-01
739,1.429,2011-08-01
740,0.872,2011-09-01
741,0.734,2011-10-01
742,0.16,2011-11-01
743,1.73,2011-12-01
744,1.816,2012-01-01
745,2.35,2012-02-01
746,3.842,2012-03-01
747,2.122,2012-04-01
748,1.524,2012-05-01
749,1.248,2012-06-01
750,1.503,2012-07-01
751,0.931,2012-08-01
752,0.756,2012-09-01
753,-0.035,2012-10-01
754,0.545,2012-11-01
755,1.128,2012-12-01
756,1.954,2013-01-01
757,0.577,2013-02-01
758,0.162,2013-03-01
759,-1.072,2013-04-01
760,0.157,2013-05-01
761,1.433,2013-06-01
762,0.563,2013-07-01
763,0.681,2013-08-01
764,0.98,2013-09-01
765,0.462,2013-10-01
766,0.118,2013-11-01
767,-0.444,2013-12-01
768,1.887,2014-01-01
769,-0.548,2014-02-01
770,0.294,2014-03-01
771,0.747,2014-04-01
772,0.943,2014-05-01
773,0.528,2014-06-01
774,-0.062,2014-07-01
775,0.368,2014-08-01
776,0.845,2014-09-01
777,1.349,2014-10-01
778,-0.452,2014-11-01
779,2.76,2014-12-01
780,2.151,2015-01-01
781,0.35,2015-02-01
782,2.58,2015-03-01
783,1.487,2015-04-01
784,0.989,2015-05-01
785,1.697,2015-06-01
786,0.364,2015-07-01
787,0.437,2015-08-01
788,1.608,2015-09-01
789,1.928,2015-10-01
790,1.749,2015-11-01
791,3.083,2015-12-01
792,2.599,2016-01-01
793,3.747,2016-02-01
794,3.741,2016-03-01
795,1.889,2016-04-01
796,0.186,2016-05-01
797,0.136,1850-01-01
798,-0.304,1850-02-01
799,-1.071,1850-03-01
800,-2.07,1850-04-01
801,-1.889,1850-05-01
802,-0.413,1850-06-01
803,-0.086,1850-07-01
804,0.836,1850-08-01
805,-0.19,1850-09-01
806,-0.904,1850-10-01
807,-0.48,1850-11-01
808,-2.466,1850-12-01
809,0.628,1851-01-01
810,0.07,1851-02-01
811,0.709,1851-03-01
812,-0.501,1851-04-01
813,0.027,1851-05-01
814,0.061,1851-06-01
815,-0.123,1851-07-01
816,-0.095,1851-08-01
817,0.143,1851-09-01
818,-0.523,1851-10-01
819,-1.456,1851-11-01
820,-1.579,1851-12-01
821,-0.469,1852-01-01
822,0.908,1852-02-01
823,-0.427,1852-03-01
824,-1.358,1852-04-01
825,-0.022,1852-05-01
826,-0.297,1852-06-01
827,0.026,1852-07-01
828,-0.425,1852-08-01
829,-1.35,1852-09-01
830,-0.557,1852-10-01
831,-2.21,1852-11-01
832,-0.599,1852-12-01
833,0.402,1853-01-01
834,-1.312,1853-02-01
835,-0.407,1853-03-01
836,-0.16,1853-04-01
837,-0.387,1853-05-01
838,0.422,1853-06-01
839,-0.756,1853-07-01
840,-0.744,1853-08-01
841,-0.37,1853-09-01
842,-1.991,1853-10-01
843,-0.249,1853-11-01
844,-0.494,1853-12-01
845,-1.238,1854-01-01
846,-0.093,1854-02-01
847,0.582,1854-03-01
848,-0.107,1854-04-01
849,-0.798,1854-05-01
850,-0.559,1854-06-01
851,0.42,1854-07-01
852,0.022,1854-08-01
853,-0.312,1854-09-01
854,-0.08,1854-10-01
855,-0.257,1854-11-01
856,-0.079,1854-12-01
857,0.393,1855-01-01
858,-1.526,1855-02-01
859,-0.951,1855-03-01
860,0.792,1855-04-01
861,0.139,1855-05-01
862,-0.68,1855-06-01
863,-0.594,1855-07-01
864,-0.834,1855-08-01
865,-0.487,1855-09-01
866,-1.833,1855-10-01
867,-0.646,1855-11-01
868,-1.785,1855-12-01
869,-2.627,1856-01-01
870,-1.89,1856-02-01
871,-1.458,1856-03-01
872,0.172,1856-04-01
873,-0.462,1856-05-01
874,0.899,1856-06-01
875,0.181,1856-07-01
876,-0.975,1856-08-01
877,-1.394,1856-09-01
878,-1.375,1856-10-01
879,-1.418,1856-11-01
880,-2.719,1856-12-01
881,-2.991,1857-01-01
882,1.504,1857-02-01
883,-0.818,1857-03-01
884,-2.441,1857-04-01
885,-1.21,1857-05-01
886,-0.368,1857-06-01
887,-0.677,1857-07-01
888,-0.737,1857-08-01
889,-1.067,1857-09-01
890,-1.826,1857-10-01
891,-1.426,1857-11-01
892,1.251,1857-12-01
893,2.655,1858-01-01
894,-1.737,1858-02-01
895,0.296,1858-03-01
896,-0.636,1858-04-01
897,-0.884,1858-05-01
898,-0.142,1858-06-01
899,-0.721,1858-07-01
900,-1.003,1858-08-01
901,-0.889,1858-09-01
902,-0.895,1858-10-01
903,-2.0,1858-11-01
904,-0.647,1858-12-01
905,-0.108,1859-01-01
906,0.135,1859-02-01
907,0.265,1859-03-01
908,-1.902,1859-04-01
909,0.059,1859-05-01
910,-0.449,1859-06-01
911,-0.898,1859-07-01
