EIA_ID,YYYYMM,Date,Value,Column_Order,Description,Unit
WDPRBUS,199409,9/1/1994,180.928,1,Wood Energy Production,Trillion Btu
WDPRBUS,199410,10/1/1994,209.489,1,Wood Energy Production,Trillion Btu
WDPRBUS,199411,11/1/1994,198.716,1,Wood Energy Production,Trillion Btu
WDPRBUS,199412,12/1/1994,194.468,1,Wood Energy Production,Trillion Btu
WDPRBUS,199501,1/1/1995,181.661,1,Wood Energy Production,Trillion Btu
WDPRBUS,199502,2/1/1995,151.839,1,Wood Energy Production,Trillion Btu
WDPRBUS,199503,3/1/1995,181.966,1,Wood Energy Production,Trillion Btu
WDPRBUS,199504,4/1/1995,202.143,1,Wood Energy Production,Trillion Btu
WDPRBUS,199505,5/1/1995,174.718,1,Wood Energy Production,Trillion Btu
WDPRBUS,199506,6/1/1995,164.965,1,Wood Energy Production,Trillion Btu
WDPRBUS,199507,7/1/1995,234.038,1,Wood Energy Production,Trillion Btu
WDPRBUS,199508,8/1/1995,240.237,1,Wood Energy Production,Trillion Btu
WDPRBUS,199509,9/1/1995,208.217,1,Wood Energy Production,Trillion Btu
WDPRBUS,199510,10/1/1995,227.438,1,Wood Energy Production,Trillion Btu
WDPRBUS,199511,11/1/1995,203.6,1,Wood Energy Production,Trillion Btu
WDPRBUS,199512,12/1/1995,199.049,1,Wood Energy Production,Trillion Btu
WDPRBUS,199601,1/1/1996,215.337,1,Wood Energy Production,Trillion Btu
WDPRBUS,199602,2/1/1996,169.485,1,Wood Energy Production,Trillion Btu
WDPRBUS,199603,3/1/1996,196.558,1,Wood Energy Production,Trillion Btu
WDPRBUS,199604,4/1/1996,149.671,1,Wood Energy Production,Trillion Btu
WDPRBUS,199605,5/1/1996,176.787,1,Wood Energy Production,Trillion Btu
WDPRBUS,199606,6/1/1996,197.279,1,Wood Energy Production,Trillion Btu
WDPRBUS,199607,7/1/1996,221.032,1,Wood Energy Production,Trillion Btu
WDPRBUS,199608,8/1/1996,241.559,1,Wood Energy Production,Trillion Btu
WDPRBUS,199609,9/1/1996,201.147,1,Wood Energy Production,Trillion Btu
WDPRBUS,199610,10/1/1996,241.017,1,Wood Energy Production,Trillion Btu
WDPRBUS,199611,11/1/1996,230.3,1,Wood Energy Production,Trillion Btu
WDPRBUS,199612,12/1/1996,196.854,1,Wood Energy Production,Trillion Btu
WDPRBUS,199701,1/1/1997,219.532,1,Wood Energy Production,Trillion Btu
WDPRBUS,199702,2/1/1997,169.842,1,Wood Energy Production,Trillion Btu
WDPRBUS,199703,3/1/1997,191.206,1,Wood Energy Production,Trillion Btu
WDPRBUS,199704,4/1/1997,189.865,1,Wood Energy Production,Trillion Btu
WDPRBUS,199705,5/1/1997,200.871,1,Wood Energy Production,Trillion Btu
WDPRBUS,199706,6/1/1997,172.743,1,Wood Energy Production,Trillion Btu
WDPRBUS,199707,7/1/1997,195.848,1,Wood Energy Production,Trillion Btu
WDPRBUS,199708,8/1/1997,204.296,1,Wood Energy Production,Trillion Btu
WDPRBUS,199709,9/1/1997,193.213,1,Wood Energy Production,Trillion Btu
WDPRBUS,199710,10/1/1997,239.624,1,Wood Energy Production,Trillion Btu
WDPRBUS,199711,11/1/1997,203.767,1,Wood Energy Production,Trillion Btu
WDPRBUS,199712,12/1/1997,190.185,1,Wood Energy Production,Trillion Btu
WDPRBUS,199801,1/1/1998,218.095,1,Wood Energy Production,Trillion Btu
WDPRBUS,199802,2/1/1998,158.343,1,Wood Energy Production,Trillion Btu
WDPRBUS,199803,3/1/1998,179.494,1,Wood Energy Production,Trillion Btu
WDPRBUS,199804,4/1/1998,178.06,1,Wood Energy Production,Trillion Btu
WDPRBUS,199805,5/1/1998,186.622,1,Wood Energy Production,Trillion Btu
WDPRBUS,199806,6/1/1998,128.7,1,Wood Energy Production,Trillion Btu
WDPRBUS,199807,7/1/1998,184.548,1,Wood Energy Production,Trillion Btu
WDPRBUS,199808,8/1/1998,191.758,1,Wood Energy Production,Trillion Btu
WDPRBUS,199809,9/1/1998,186.479,1,Wood Energy Production,Trillion Btu
WDPRBUS,199810,10/1/1998,202.005,1,Wood Energy Production,Trillion Btu
WDPRBUS,199811,11/1/1998,171.31,1,Wood Energy Production,Trillion Btu
WDPRBUS,199812,12/1/1998,198.747,1,Wood Energy Production,Trillion Btu
WDPRBUS,199901,1/1/1999,210.996,1,Wood Energy Production,Trillion Btu
WDPRBUS,199902,2/1/1999,162.352,1,Wood Energy Production,Trillion Btu
WDPRBUS,199903,3/1/1999,149.912,1,Wood Energy Production,Trillion Btu
WDPRBUS,199904,4/1/1999,183.534,1,Wood Energy Production,Trillion Btu
WDPRBUS,199905,5/1/1999,222.166,1,Wood Energy Production,Trillion Btu
WDPRBUS,199906,6/1/1999,173.903,1,Wood Energy Production,Trillion Btu
WDPRBUS,199907,7/1/1999,203.953,1,Wood Energy Production,Trillion Btu
WDPRBUS,199908,8/1/1999,197.764,1,Wood Energy Production,Trillion Btu
WDPRBUS,199909,9/1/1999,181.899,1,Wood Energy Production,Trillion Btu
WDPRBUS,199910,10/1/1999,164.413,1,Wood Energy Production,Trillion Btu
WDPRBUS,199911,11/1/1999,192.219,1,Wood Energy Production,Trillion Btu
WDPRBUS,199912,12/1/1999,171.056,1,Wood Energy Production,Trillion Btu
WDPRBUS,200001,1/1/2000,160.708,1,Wood Energy Production,Trillion Btu
WDPRBUS,200002,2/1/2000,185.259,1,Wood Energy Production,Trillion Btu
WDPRBUS,200003,3/1/2000,195.714,1,Wood Energy Production,Trillion Btu
WDPRBUS,200004,4/1/2000,187.07,1,Wood Energy Production,Trillion Btu
WDPRBUS,200005,5/1/2000,184.011,1,Wood Energy Production,Trillion Btu
WDPRBUS,200006,6/1/2000,167.726,1,Wood Energy Production,Trillion Btu
WDPRBUS,200007,7/1/2000,191.305,1,Wood Energy Production,Trillion Btu
WDPRBUS,200008,8/1/2000,194.632,1,Wood Energy Production,Trillion Btu
WDPRBUS,200009,9/1/2000,180.764,1,Wood Energy Production,Trillion Btu
WDPRBUS,200010,10/1/2000,206.142,1,Wood Energy Production,Trillion Btu
WDPRBUS,200011,11/1/2000,200.803,1,Wood Energy Production,Trillion Btu
WDPRBUS,200012,12/1/2000,207.582,1,Wood Energy Production,Trillion Btu
WDPRBUS,200101,1/1/2001,175.982,1,Wood Energy Production,Trillion Btu
WDPRBUS,200102,2/1/2001,155.969,1,Wood Energy Production,Trillion Btu
